Date,Company,Price
2025-06-19,PWC,123.33
2025-06-20,PWC,123.35
2025-06-23,PWC,123.38
2025-06-24,PWC,123.4
2025-06-25,PWC,123.43
2025-06-26,PWC,123.45
2025-06-27,PWC,123.47
2025-06-30,PWC,123.5
2025-07-01,PWC,123.52
2025-07-02,PWC,123.55
2025-07-03,PWC,123.33
2025-07-04,PWC,123.35
2025-07-07,PWC,123.38
2025-07-08,PWC,123.4
2025-07-09,PWC,123.43
2025-07-10,PWC,123.45
2025-07-11,PWC,123.47
2025-07-14,PWC,123.5
2025-07-15,PWC,123.52
2025-07-16,PWC,123.55
2025-07-17,PWC,123.33
2025-07-18,PWC,123.35
2025-07-21,PWC,123.38
2025-07-22,PWC,123.4
2025-07-23,PWC,123.43
2025-07-24,PWC,123.45
2025-07-25,PWC,123.47
2025-07-28,PWC,123.5
2025-07-29,PWC,123.52
2025-07-30,PWC,123.55
2025-07-31,PWC,123.33
2025-08-01,PWC,123.35
2025-08-04,PWC,123.38
2025-08-05,PWC,123.4
2025-08-06,PWC,123.43
2025-08-07,PWC,123.45
2025-08-08,PWC,123.47
2025-08-11,PWC,123.5
2025-08-12,PWC,123.52
2025-08-13,PWC,123.55
2025-08-14,PWC,123.33
2025-08-15,PWC,123.35
2025-08-18,PWC,123.38
2025-08-19,PWC,123.4
2025-08-20,PWC,123.43
2025-08-21,PWC,123.45
2025-08-22,PWC,123.47
2025-08-25,PWC,123.5
2025-08-26,PWC,123.52
2025-08-27,PWC,123.55
2025-08-28,PWC,123.33
2025-08-29,PWC,123.35
2025-09-01,PWC,123.38
2025-09-02,PWC,123.4
2025-09-03,PWC,123.43
2025-09-04,PWC,123.45
2025-09-05,PWC,123.47
2025-09-08,PWC,123.5
2025-09-09,PWC,123.52
2025-09-10,PWC,123.55
2025-09-11,PWC,123.33
2025-09-12,PWC,123.35
2025-09-15,PWC,123.38
2025-09-16,PWC,123.4
2025-09-17,PWC,123.43
2025-09-18,PWC,123.45
2025-09-19,PWC,123.47
2025-09-22,PWC,123.5
2025-09-23,PWC,123.52
2025-09-24,PWC,123.55
2025-09-25,PWC,123.33
2025-09-26,PWC,123.35
2025-09-29,PWC,123.38
2025-09-30,PWC,123.4
2025-10-01,PWC,123.43
2025-10-02,PWC,123.45
2025-10-03,PWC,123.47
2025-10-06,PWC,123.5
2025-10-07,PWC,123.52
2025-10-08,PWC,123.55
2025-10-09,PWC,123.33
2025-10-10,PWC,123.35
2025-10-13,PWC,123.38
2025-10-14,PWC,123.4
2025-10-15,PWC,123.43
2025-10-16,PWC,123.45
2025-10-17,PWC,123.47
2025-10-20,PWC,123.5
2025-10-21,PWC,123.52
2025-10-22,PWC,123.55
2025-10-23,PWC,123.33
2025-10-24,PWC,123.35
2025-10-27,PWC,123.38
2025-10-28,PWC,123.4
2025-10-29,PWC,123.43
2025-10-30,PWC,123.45
2025-10-31,PWC,123.47
2025-11-03,PWC,123.5
2025-11-04,PWC,123.52
2025-11-05,PWC,123.55
2025-11-06,PWC,123.33
2025-11-07,PWC,123.35
2025-11-10,PWC,123.38
2025-11-11,PWC,123.4
2025-11-12,PWC,123.43
2025-11-13,PWC,123.45
2025-11-14,PWC,123.47
2025-11-17,PWC,123.5
2025-11-18,PWC,123.52
2025-11-19,PWC,123.55
2025-11-20,PWC,123.33
2025-11-21,PWC,123.35
2025-11-24,PWC,123.38
2025-11-25,PWC,123.4
2025-11-26,PWC,123.43
2025-11-27,PWC,123.45
2025-11-28,PWC,123.47
2025-12-01,PWC,123.5
2025-12-02,PWC,123.52
2025-12-03,PWC,123.55
2025-12-04,PWC,123.33
2025-12-05,PWC,123.35
2025-12-08,PWC,123.38
2025-12-09,PWC,123.4
2025-12-10,PWC,123.43
2025-12-11,PWC,123.45
2025-12-12,PWC,123.47
2025-12-15,PWC,123.5
2025-12-16,PWC,123.52
2025-12-17,PWC,123.55
2025-12-18,PWC,123.33
2025-12-19,PWC,123.35
2025-12-22,PWC,123.38
2025-12-23,PWC,123.4
2025-12-24,PWC,123.43
2025-12-25,PWC,123.45
2025-12-26,PWC,123.47
2025-12-29,PWC,123.5
2025-12-30,PWC,123.52
2025-12-31,PWC,123.55
